#;RunNo;RunDes;Verb;NEvents;NStart;Ped;Clus;Sel;DoAlig;AnaAli;TraAna;Ntries;Status;Correction
#120XX;;;;;;;;;;;;;;
#RHT1;;;;;;;;;;;;;;
;12000;left;0;250000;0;1;1;1;1;0;1;0;0;1
;12002;left;0;560000;0;1;1;1;1;0;1;0;0;1
;12003;left;0;1000000;0;1;1;1;1;0;1;0;0;1
;12004;left;0;1000000;0;1;1;1;1;0;1;0;0;1
;12005;left;0;1000000;0;1;1;1;1;0;1;0;0;1
;12007;left;0;1000000;0;1;1;1;1;0;1;0;0;1
;12008;left;0;500000;0;1;1;1;1;0;1;0;0;1
;12009;left;0;500000;0;1;1;1;1;0;1;0;0;1
;12010;left;0;510000;0;1;1;1;1;0;1;0;0;1
;12011;left;0;1000000;0;1;1;1;1;0;1;0;0;1
;12012;left;0;1000000;0;1;1;1;1;0;1;0;0;1
#RHT2;;;;;;;;;;;;;;
;12000;right;0;250000;0;1;1;1;1;0;1;0;0;1
;12002;right;0;560000;0;1;1;1;1;0;1;0;0;1
;12003;right;0;1000000;0;1;1;1;1;0;1;0;0;1
;12004;right;0;1000000;0;1;1;1;1;0;1;0;0;1
;12005;right;0;1000000;0;1;1;1;1;0;1;0;0;1
;12007;right;0;1000000;0;1;1;1;1;0;1;0;0;1
;12008;right;0;500000;0;1;1;1;1;0;1;0;0;1
;12009;right;0;500000;0;1;1;1;1;0;1;0;0;1
;12010;right;0;510000;0;1;1;1;1;0;1;0;0;1
;12011;right;0;1000000;0;1;1;1;1;0;1;0;0;1
;12012;right;0;1000000;0;1;1;1;1;0;1;0;0;1
