#;RunNo;RunDes;Verb;NEvents;NStart;Ped;Clus;Sel;DoAlig;AnaAli;TraAna;Ntries;Status;Correction
#130XX;;;;;;;;;;;;;;
#CD113;;;;;;;;;;;;;;
;13000;0;0;250000;0;1;1;1;1;0;1;0;0;1
;13001;0;0;1000000;0;1;1;1;1;0;1;0;0;1
;13002;0;0;1000000;0;1;1;1;1;0;1;0;0;1
;13005;0;0;4000000;0;1;1;1;1;0;1;0;0;1
;13007;0;0;4000000;0;1;1;1;1;0;1;0;0;1
;13011;0;0;3100000;0;1;1;1;1;0;1;0;0;1
;13013;0;0;4000000;0;1;1;1;1;0;1;0;0;1
#L107-9;;;;;;;;;;;;;;
;13022;0;0;2000000;0;1;1;1;1;0;1;0;0;1
;13023;0;0;500000;0;1;1;1;1;0;1;0;0;1
;13024;0;0;1500000;0;1;1;1;1;0;1;0;0;1
;13025;0;0;500000;0;1;1;1;1;0;1;0;0;1
;13026;0;0;2500000;0;1;1;1;1;0;1;0;0;1
;13014;0;0;4000000;0;1;1;1;1;0;1;0;0;1
#RHT1/2;;;;;;;;;;;;;;
;13018;0;0;4000000;0;1;1;1;1;0;1;0;0;1
;13021;0;0;2000000;0;1;1;1;1;0;1;0;0;1
;13015;0;0;4000000;0;1;1;1;1;0;1;0;0;1
;13016;0;0;2000000;0;1;1;1;1;0;1;0;0;1
#RHT4;;;;;;;;;;;;;;
;13017;0;0;2000000;0;1;1;1;1;0;1;0;0;1
;13019;0;0;1500000;0;1;1;1;1;0;1;0;0;1
;13020;0;0;2000000;0;1;1;1;1;0;1;0;0;1
#T1533;;;;;;;;;;;;;;
;13003;0;0;2000000;0;1;1;1;1;0;1;0;0;1
;13004;0;0;2000000;0;1;1;1;1;0;1;0;0;1
;13006;0;0;1450000;0;1;1;1;1;0;1;0;0;1
;13008;0;0;1000000;0;1;1;1;1;0;1;0;0;1
;13009;0;0;3000000;0;1;1;1;1;0;1;0;0;1
;13010;0;0;2000000;0;1;1;1;1;0;1;0;0;1
;13012;0;0;2000000;0;1;1;1;1;0;1;0;0;1
