#;RunNo;RunDes;Verb;NEvents;NStart;Ped;Clus;Sel;DoAlig;AnaAli;TraAna;Ntries;Status;Correction
#141XX;;;;;;;;;;;;;;
#T15-43 ;;;;;;;;;;;;;;
;14100;0;0;1000000;0;1;1;1;1;0;1;0;0;1
;14102;0;0;1000000;0;1;1;1;1;0;1;0;0;1
;14103;0;0;1000000;0;1;1;1;1;0;1;0;0;1
;14104;0;0;1000000;0;1;1;1;1;0;1;0;0;1
;14105;0;0;1000000;0;1;1;1;1;0;1;0;0;1
;14106;0;0;1000000;0;1;1;1;1;0;1;0;0;1
;14107;0;0;1000000;0;1;1;1;1;0;1;0;0;1
;14108;0;0;1000000;0;1;1;1;1;0;1;0;0;1
;14109;0;0;1000000;0;1;1;1;1;0;1;0;0;1
;14110;0;0;1000000;0;1;1;1;1;0;1;0;0;1
;14112;0;0;150000;0;1;1;1;1;0;1;0;0;1
#T14-33;;;;;;;;;;;;;;
;14101;0;0;360000;0;1;1;1;1;0;1;0;0;1
;14111;0;0;1000000;0;1;1;1;1;0;1;0;0;1
;14113;0;0;100000;0;1;1;1;1;0;1;0;0;1
;14114;0;0;500000;0;1;1;1;1;0;1;0;0;1
