#;RunNo;RunDes;Verb;NEvents;NStart;Ped;Clus;Sel;DoAlig;AnaAli;TraAna;Ntries;Status;Correction
#140XX;;;;;;;;;;;;;;
#CD182;;;;;;;;;;;;;;
;14005;0;0;500000;0;1;1;1;1;1;1;0;1;1
;14006;0;0;1000000;0;1;1;1;1;1;1;0;1;1
;14007;0;0;500000;0;1;1;1;1;1;1;0;1;1
;14008;0;0;1000000;0;1;1;1;1;1;1;0;1;1
;14009;0;0;2000000;0;1;1;1;1;1;1;0;1;1
;14010;0;0;1000000;0;1;1;1;1;1;1;0;1;1
;14011;0;0;240000;0;1;1;1;1;1;1;0;1;1
;14012;0;0;200000;0;1;1;1;1;1;1;1;1;1
;14013;0;0;500000;0;1;1;1;1;1;1;0;1;1
;14014;0;0;1000000;0;1;1;1;1;1;1;0;1;1
;14015;0;0;500000;0;1;1;1;1;1;1;0;1;1
;14016;0;0;1000000;0;1;1;1;1;1;1;0;1;1
;14017;0;0;2000000;0;1;1;1;1;1;1;0;1;1
;14018;0;0;1000000;0;1;1;1;1;1;1;0;1;1
;14019;0;0;2000000;0;1;1;1;1;1;1;0;1;1
;14020;0;0;1000000;0;1;1;1;1;1;1;0;1;1
#T15-43;;;;;;;;;;;;;;
;14021;0;0;2000000;0;1;1;1;1;1;1;2;0;1
;14022;0;0;2000000;0;1;1;1;1;1;1;2;0;1
;14023;0;0;2000000;0;1;1;1;1;1;1;2;0;1
;14024;0;0;2000000;0;1;1;1;1;1;1;2;0;1
;140130;0;0;500000;0;1;1;1;1;1;1;0;0;0
;140200;0;0;1000000;0;1;1;1;1;1;1;0;0;0
;140150;0;0;500000;0;1;1;1;1;1;1;0;0;0
;140090;0;0;2000000;0;1;1;1;1;1;1;0;0;0
;140070;0;0;500000;0;1;1;1;1;1;1;0;0;0
;140140;0;0;1000000;0;1;1;1;1;1;1;0;0;0
;140190;0;0;2000000;0;1;1;1;1;1;1;0;0;0
;140170;0;0;2000000;0;1;1;1;1;1;1;0;0;0
;140080;0;0;1000000;0;1;1;1;1;1;1;0;0;0
;140060;0;0;1000000;0;1;1;1;1;1;1;0;0;0
;140160;0;0;1000000;0;1;1;1;1;1;1;0;0;0
;140110;0;0;240000;0;1;1;1;1;1;1;0;0;0
;140100;0;0;1000000;0;1;1;1;1;1;1;0;0;0
;140050;0;0;500000;0;1;1;1;1;1;1;0;0;0
;140180;0;0;1000000;0;1;1;1;1;1;1;0;0;0
;140120;0;0;200000;0;1;1;1;1;1;1;1;0;0
