#;RunNo;RunDes;Verb;NEvents;NStart;Ped;Clus;Sel;DoAlig;AnaAli;TraAna;Ntries;Status;Correction
#141XX;;;;;;;;;;;;;;
#T15-43 ;;;;;;;;;;;;;;
;14100;0;0;1000000;0;0;1;0;0;0;0;1;0;1
;14102;0;0;1000000;0;0;1;0;0;0;0;1;0;1
;14103;0;0;1000000;0;0;1;0;0;0;0;1;1;1
#;14104;0;0;1000000;0;1;1;1;1;0;1;0;1;1
#;14105;0;0;1000000;0;1;1;1;1;0;1;0;1;1
#;14106;0;0;1000000;0;1;1;1;1;0;1;0;1;1
#;14107;0;0;1000000;0;1;1;1;1;0;1;0;1;1
#;14108;0;0;1000000;0;1;1;1;1;0;1;0;1;1
#;14109;0;0;1000000;0;1;1;1;1;0;1;0;1;1
#;14110;0;0;1000000;0;1;1;1;1;0;1;0;1;1
#;14112;0;0;150000;0;1;1;1;1;0;1;0;1;1
#T14-33;;;;;;;;;;;;;;
#;14101;0;0;360000;0;1;1;1;1;0;1;0;1;1
#;14111;0;0;1000000;0;1;1;1;1;0;1;0;1;1
#;14113;0;0;100000;0;1;1;1;1;0;1;0;0;1
#;14114;0;0;500000;0;1;1;1;1;0;1;0;1;1
#CORREC;;;;;;;;;;;;;;
#;141130;0;0;100000;0;1;1;1;1;0;1;0;0;0
;141020;0;0;1000000;0;0;1;0;0;0;1;1;1;0
;141030;0;0;1000000;0;0;0;0;0;0;1;1;1;0
;141040;0;0;1000000;0;0;0;0;0;0;1;1;0;0
;141050;0;0;1000000;0;0;1;0;0;0;1;1;0;0
;141060;0;0;1000000;0;0;0;0;0;0;1;1;0;0
;141080;0;0;1000000;0;0;1;0;0;0;1;0;0;0
;141090;0;0;1000000;0;0;0;0;1;0;1;0;0;0
#;141110;0;0;1000000;0;1;1;1;1;0;1;0;0;0
#;141120;0;0;150000;0;1;1;1;1;0;1;0;0;0
#;141070;0;0;1000000;0;1;1;1;1;0;1;0;0;0
#;141100;0;0;1000000;0;1;1;1;1;0;1;0;0;0
#;141010;0;0;360000;0;1;1;1;1;0;1;0;0;0
;141000;0;0;1000000;0;0;0;0;0;0;1;0;0;0
#;141140;0;0;500000;0;1;1;1;1;0;1;0;0;0
