#;RunNo;RunDes;Verb;NEvents;NStart;Ped;Clus;Sel;DoAlig;AnaAli;TraAna;Ntries;Status;Correction
;15003;left;0;400000;0;1;1;1;1;0;1;0;0;1
;15003;right;0;400000;0;1;1;1;1;0;1;0;0;1
;15004;left;0;1000000;0;1;1;1;1;0;1;0;0;1
;15004;right;0;1000000;0;1;1;1;1;0;1;0;0;1
;15005;left;0;1000000;0;1;1;1;1;0;1;0;0;1
;15005;right;0;1000000;0;1;1;1;1;0;1;0;0;1
;15009;left;0;400000;0;1;1;1;1;0;1;0;0;1
;15009;right;0;400000;0;1;1;1;1;0;1;0;0;1
;15011;left;0;1000000;0;1;1;1;1;0;1;0;0;1
;15011;right;0;1000000;0;1;1;1;1;0;1;0;0;1
;15012;left;0;1000000;0;1;1;1;1;0;1;0;0;1
;15012;right;0;1000000;0;1;1;1;1;0;1;0;0;1

