#;RunNo;RunDes;Verb;NEvents;NStart;Ped;Clus;Sel;DoAlig;AnaAli;TraAna;Ntries;Status;Correction
;15003;left;0;400000;0;1;1;1;1;0;1;0;1;1
;150031;left;0;400000;0;1;1;1;1;0;1;0;0;0
;15004;left;0;1000000;0;1;1;1;1;0;1;0;1;1
;150041;left;0;1000000;0;1;1;1;1;0;1;0;0;0
;15005;left;0;1000000;0;1;1;1;1;0;1;0;1;1
;150051;left;0;1000000;0;1;1;1;1;0;1;0;0;0
;15009;left;0;400000;0;1;1;1;1;0;1;0;1;1
;150091;left;0;400000;0;1;1;1;1;0;1;0;0;0
;15011;left;0;1000000;0;1;1;1;1;0;1;0;1;1
;150111;left;0;1000000;0;1;1;1;1;0;1;0;0;0
;15012;left;0;1000000;0;1;1;1;1;0;1;0;1;1
;150121;left;0;1000000;0;1;1;1;1;0;1;0;0;0
;15216;left;0;890000;0;1;1;0;1;0;1;0;1;1
;152161;left;0;890000;0;1;1;0;1;0;1;0;0;0
;15218;left;0;210000;0;1;1;0;1;0;1;0;1;1
;152181;left;0;210000;0;1;1;0;1;0;1;0;0;0
;15219;left;0;800000;0;1;1;0;1;0;1;0;1;1
;152191;left;0;800000;0;1;1;0;1;0;1;0;0;0
;15239;left;0;170000;0;1;1;0;0;0;1;0;1;1
;16008;left;0;400000;0;1;1;0;1;0;1;0;1;1
;16009;left;0;800000;0;1;1;0;1;0;1;0;1;1
;16010;left;0;400000;0;1;1;0;1;0;1;0;1;1
;16011;left;0;800000;0;1;1;0;1;0;1;0;1;1
;16100;left;0;400000;0;1;1;0;1;0;1;0;1;1
;16101;left;0;1000000;0;1;1;0;1;0;1;0;1;1
;16102;left;0;400000;0;1;1;0;1;0;1;0;1;1
;16103;left;0;1000000;0;1;1;0;1;0;1;0;1;1
;16104;left;0;1000000;0;1;1;0;1;0;1;0;1;1
;16105;left;0;400000;0;1;1;0;1;0;1;0;1;1
;16106;left;0;400000;0;1;1;0;1;0;1;0;1;1
;16107;left;0;400000;0;1;1;0;1;0;1;0;1;1
;16108;left;0;400000;0;1;1;0;1;0;1;0;1;1
;160111;left;0;800000;0;1;1;0;1;0;1;0;0;0
;160101;left;0;400000;0;1;1;0;1;0;1;0;0;0
;160091;left;0;800000;0;1;1;0;1;0;1;0;0;0
;160081;left;0;400000;0;1;1;0;1;0;1;0;0;0
;161051;left;0;400000;0;1;1;0;1;0;1;0;0;0
;161081;left;0;400000;0;1;1;0;1;0;1;0;0;0
;161031;left;0;1000000;0;1;1;0;1;0;1;0;0;0
;161071;left;0;400000;0;1;1;0;1;0;1;0;0;0
;161021;left;0;400000;0;1;1;0;1;0;1;0;0;0
;161061;left;0;400000;0;1;1;0;1;0;1;0;0;0
;161011;left;0;1000000;0;1;1;0;1;0;1;0;0;0
;161001;left;0;400000;0;1;1;0;1;0;1;0;0;0
;161041;left;0;1000000;0;1;1;0;1;0;1;0;0;0
;152391;left;0;170000;0;1;1;0;0;0;1;0;0;0
