#;RunNo;RunDes;Verb;NEvents;NStart;Ped;Clus;Sel;DoAlig;AnaAli;TraAna;Ntries;Status;Correction
;13009;0;0;1000000;0;1;1;0;0;0;0;1;1;1
;13012;0;0;1000000;0;1;1;0;0;0;0;1;1;1
;13015;left;0;1000000;0;1;1;0;0;0;0;1;1;1
;13016;left;0;1000000;0;1;1;0;0;0;0;1;1;1
;16304;0;0;305997;0;1;1;0;0;0;0;1;1;1
;13018;right;0;1000000;0;1;1;0;0;0;0;1;1;1
;13018;left;0;1000000;0;1;1;0;0;0;0;0;0;1
;13025;0;0;500000;0;1;1;0;0;0;0;1;1;1
;16006;0;0;400000;0;1;1;0;0;0;0;1;1;1
;16310;right;0;400000;0;1;1;0;0;0;0;1;1;1
;17003;left;0;200000;0;1;1;0;0;0;0;1;1;1
;17003;right;0;200000;0;1;1;0;0;0;0;1;1;1
;163102;right;0;400000;0;1;1;0;0;0;0;1;1;0
;130151;left;0;1000000;0;1;1;0;0;0;0;1;1;0
;170031;left;0;200000;0;1;1;0;0;0;0;1;1;0
;130182;right;0;1000000;0;1;1;0;0;0;0;1;1;0
;130250;0;0;500000;0;1;1;0;0;0;0;1;1;0
;170032;right;0;200000;0;1;1;0;0;0;0;1;1;0
;160060;0;0;400000;0;1;1;0;0;0;0;1;1;0
;130120;0;0;1000000;0;1;1;0;0;0;0;1;1;0
;130090;0;0;1000000;0;1;1;0;0;0;0;1;1;0
;130161;left;0;1000000;0;1;1;0;0;0;0;1;1;0
;163040;0;0;305997;0;1;1;0;0;0;0;1;0;0
#
;15200;0;0;400000;0;1;1;0;0;0;0;1;1;1
;15201;left;0;400000;0;1;1;0;0;0;0;1;1;1
;15201;right;0;400000;0;1;1;0;0;0;0;1;1;1
;15202;0;0;400000;0;1;1;0;0;0;0;1;1;1
;15203;0;0;400000;0;1;1;0;0;0;0;1;1;1
;15204;left;0;1000000;0;1;1;0;0;0;0;1;1;1
;15204;right;0;1000000;0;1;1;0;0;0;0;0;0;1
;15205;0;0;400000;0;1;1;0;0;0;0;1;1;1
;15206;left;0;400000;0;1;1;0;0;0;0;1;1;1
;15206;right;0;400000;0;1;1;0;0;0;0;0;0;1
;15207;left;0;1000000;0;1;1;0;0;0;0;1;1;1
;15207;right;0;1000000;0;1;1;0;0;0;0;0;0;1
;15208;0;0;400000;0;1;1;0;0;0;0;1;1;1
;15209;0;0;1000000;0;1;1;0;0;0;0;1;1;1
;15210;0;0;400000;0;1;1;0;0;0;0;1;1;1
;15211;0;0;400000;0;1;1;0;0;0;0;1;1;1
;15212;0;0;400000;0;1;1;0;0;0;0;1;1;1
;15213;0;0;400000;0;1;1;0;0;0;0;1;1;1
;15214;0;0;100000;0;1;1;0;0;0;0;1;1;1
;15215;0;0;880000;0;1;1;0;0;0;0;1;1;1
;15216;left;0;890000;0;1;1;0;0;0;0;1;0;1
;15216;right;0;890000;0;1;1;0;0;0;0;0;0;1
;15218;left;0;200000;0;1;1;0;0;0;0;1;0;1
;15219;left;0;1000000;0;1;1;0;0;0;0;1;0;1
;15219;right;0;1000000;0;1;1;0;0;0;0;0;0;1
;152000;0;0;400000;0;1;1;0;0;0;0;1;1;0
;152062;right;0;400000;0;1;1;0;0;0;0;1;1;0
;152080;0;0;400000;0;1;1;0;0;0;0;1;0;0
;152030;0;0;400000;0;1;1;0;0;0;0;1;1;0
;152011;left;0;400000;0;1;1;0;0;0;0;1;1;0
;152061;left;0;400000;0;1;1;0;0;0;0;1;1;0
;152050;0;0;400000;0;1;1;0;0;0;0;1;1;0
#;130181;left;0;1000000;0;1;1;0;0;0;0;0;0;0
;152042;right;0;1000000;0;1;1;0;0;0;0;1;1;0
;152041;left;0;1000000;0;1;1;0;0;0;0;1;1;0
;152020;0;0;400000;0;1;1;0;0;0;0;1;1;0
;152072;right;0;1000000;0;1;1;0;0;0;0;1;1;0
;152012;right;0;400000;0;1;1;0;0;0;0;1;1;0
;152071;left;0;1000000;0;1;1;0;0;0;0;1;1;0
;152140;0;0;100000;0;1;1;0;0;0;0;1;1;0
;152162;right;0;890000;0;1;1;0;0;0;0;1;0;0
;152110;0;0;400000;0;1;1;0;0;0;0;1;0;0
;152182;right;0;200000;0;1;1;0;0;0;0;1;0;0
;152100;0;0;400000;0;1;1;0;0;0;0;1;0;0
;152191;left;0;1000000;0;1;1;0;0;0;0;1;0;0
;152130;0;0;400000;0;1;1;0;0;0;0;0;0;0
;152150;0;0;880000;0;1;1;0;0;0;0;0;0;0
;152120;0;0;400000;0;1;1;0;0;0;0;0;0;0
;152181;left;0;200000;0;1;1;0;0;0;0;0;0;0

;152090;0;0;1000000;0;1;1;0;0;0;0;0;0;0
;152192;right;0;1000000;0;1;1;0;0;0;0;0;0;0
;152161;left;0;890000;0;1;1;0;0;0;0;0;0;0
;15218;right;0;200000;0;1;1;0;0;0;0;0;0;1
;15103;left;400000;0;1;1;0;0;0;0;0;0;1
