#;RunNo;RunDes;Verb;NEvents;NStart;Ped;Clus;Sel;DoAlig;AnaAli;TraAna;Ntries;Status;Correction
;15219;left;0;800000;0;1;1;1;1;0;1;0;1;1
;15219;right;0;800000;0;1;1;1;1;0;1;0;1;1
;15003;left;0;400000;0;1;1;1;1;0;1;0;1;1
;15003;right;0;400000;0;1;1;1;1;0;1;0;1;1
;15004;left;0;1000000;0;1;1;1;1;0;1;0;1;1
;15004;right;0;1000000;0;1;1;1;1;0;1;0;1;1
;15005;left;0;1000000;0;1;1;1;1;0;1;0;1;1
;15005;right;0;1000000;0;1;1;1;1;0;1;0;1;1
;15009;left;0;400000;0;1;1;1;1;0;1;0;1;1
;15009;right;0;400000;0;1;1;1;1;0;1;0;1;1
;15011;left;0;1000000;0;1;1;1;1;0;1;0;1;1
;15011;right;0;1000000;0;1;1;1;1;0;1;0;1;1
;15012;left;0;1000000;0;1;1;1;1;0;1;0;1;1
;15012;right;0;1000000;0;1;1;1;1;0;1;0;1;1
;15216;left;0;890000;0;1;1;1;1;0;1;0;1;1
;15216;right;0;890000;0;1;1;1;1;0;1;0;1;1
;152161;left;0;890000;0;1;1;1;1;0;1;1;1;0
;152162;right;0;890000;0;1;1;1;1;0;1;1;1;0
;15218;left;0;210000;0;1;1;1;1;0;1;0;1;1
;15218;right;0;210000;0;1;1;1;1;0;1;0;1;1
;152182;right;0;210000;0;1;1;1;1;0;1;1;1;0
;152181;left;0;210000;0;1;1;1;1;0;1;1;1;0
;152192;right;0;800000;0;1;1;1;1;0;1;1;1;0
;150122;right;0;1000000;0;1;1;1;1;0;1;1;1;0
;150121;left;0;1000000;0;1;1;1;1;0;1;1;1;0
;150092;right;0;400000;0;1;1;1;1;0;1;1;1;0
;150111;left;0;1000000;0;1;1;1;1;0;1;1;1;0
;150052;right;0;1000000;0;1;1;1;1;0;1;1;1;0
;150112;right;0;1000000;0;1;1;1;1;0;1;1;1;0
;150051;left;0;1000000;0;1;1;1;1;0;1;1;1;0
;150042;right;0;1000000;0;1;1;1;1;0;1;1;1;0
;150091;left;0;400000;0;1;1;1;1;0;1;1;1;0
;152191;left;0;800000;0;1;1;1;1;0;1;1;1;0
;150041;left;0;1000000;0;1;1;1;1;0;1;1;1;0
;150031;left;0;400000;0;1;1;1;1;0;1;1;1;0
;150032;right;0;400000;0;1;1;1;1;0;1;1;1;0
