#;RunNo;RunDes;Verb;NEvents;NStart;Ped;Clus;Sel;DoAlig;AnaAli;TraAna;Ntries;Status;Correction
##PW206B;;;;;;;;;;;;;;
;16000;left;0;400000;0;1;1;1;1;0;1;2;1;1
;16001;right;0;1000000;0;1;1;1;1;0;1;0;0;1
;16004;left;0;400000;0;1;1;1;1;0;1;1;1;1
;16005;right;0;490000;0;1;1;1;1;0;1;0;0;1
;16302;right;0;400000;0;1;1;1;1;0;1;0;0;1
;16303;right;0;1000000;0;1;1;1;1;0;1;0;0;1
;16306;right;0;400000;0;1;1;1;1;0;1;0;0;1
;16307;right;0;1000000;0;1;1;1;1;0;1;0;0;1
#;17100;0;0;400000;0;1;1;1;1;0;1;0;0;1
#;17101;0;0;1000000;0;1;1;1;1;0;1;0;0;1
#;17103;0;0;400000;0;1;1;1;0;0;1;0;0;1
#;17104;0;0;680000;0;1;1;1;1;0;1;0;0;1
#;17207;0;0;400000;0;1;1;1;1;0;1;0;0;1
#;17208;0;0;1000000;0;1;1;1;1;0;1;0;0;1
#;17210;0;0;400000;0;1;1;1;1;0;1;0;0;1
#;17211;0;0;1000000;0;1;1;1;1;0;1;0;0;1
#CD181;;;;;;;;;;;;;;
;15000;0;0;400000;0;1;1;1;1;0;1;0;0;1
;15006;0;0;400000;0;1;1;1;1;0;1;0;0;1
;15007;0;0;400000;0;1;1;1;1;0;1;2;1;1
;15008;0;0;1000000;0;1;1;1;1;0;1;0;0;1
;15016;0;0;400000;0;1;1;1;1;0;1;0;0;1
;15018;0;0;1000000;0;1;1;1;1;0;1;0;0;1
#BDDL4
;15001;0;0;400000;0;1;1;1;1;0;1;5;0;1
;15003;left;0;400000;0;1;1;1;1;0;1;0;0;1
#
#L107-10;;;;;;;;;;;;;;
;15004;right;0;1000000;0;1;1;1;1;0;1;0;0;1
;15005;right;0;1000000;0;1;1;1;1;0;1;0;0;1
;15009;right;0;400000;0;1;1;1;1;0;1;0;0;1
;15011;right;0;1000000;0;1;1;1;1;0;1;0;0;1
;15012;right;0;1000000;0;1;1;1;1;0;1;0;0;1
;16008;right;0;400000;0;1;1;1;1;0;1;0;0;1
;16009;right;0;800000;0;1;1;1;1;0;1;0;0;1
;16010;right;0;400000;0;1;1;1;1;0;1;0;0;1
;16011;right;0;800000;0;1;1;1;1;0;1;0;0;1
;16100;right;0;400000;0;1;1;1;1;0;1;0;0;1
;16105;right;0;400000;0;1;1;1;1;0;1;0;0;1
;16107;right;0;400000;0;1;1;1;1;0;1;0;0;1
;16108;right;0;400000;0;1;1;1;1;0;1;0;0;1
;16102;right;0;400000;0;1;1;1;1;0;1;0;0;1
;16103;right;0;1000000;0;1;1;1;1;0;1;0;0;1
;16104;right;0;1000000;0;1;1;1;1;0;1;0;0;1
#;;;;;;;;;;;;;;
#L114-13;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;
#L107-11;;;;;;;;;;;;;;
#;15100;0;0;400000;0;1;1;1;1;0;1;0;0;1
#;15102;0;0;400000;0;1;1;1;1;0;1;0;0;1
;15104;0;0;250000;0;1;1;1;1;0;1;0;0;1
#;;;;;;;;;;;;;;
#CORRECTED;;;;;;;;;;;;;;
;160012;right;0;1000000;0;1;1;1;1;0;1;0;1;0
;160052;right;0;490000;0;1;1;1;1;0;1;0;1;0
;160082;right;0;400000;0;1;1;1;1;0;1;0;1;0
;160092;right;0;800000;0;1;1;1;1;0;1;0;1;0
;160102;right;0;400000;0;1;1;1;1;0;1;0;1;0
;160112;right;0;800000;0;1;1;1;1;0;1;0;1;0
;150032;right;0;400000;0;1;1;1;1;0;1;0;1;0
;150042;right;0;1000000;0;1;1;1;1;0;1;0;1;0
;150052;right;0;1000000;0;1;1;1;1;0;1;0;1;0
;150092;right;0;400000;0;1;1;1;1;0;1;0;1;0
;150112;right;0;1000000;0;1;1;1;1;0;1;0;1;0
;150122;right;0;1000000;0;1;1;1;1;0;1;0;1;0
;163022;right;0;400000;0;1;1;1;1;0;1;0;1;0
;163032;right;0;1000000;0;1;1;1;1;0;1;0;1;0
;163062;right;0;400000;0;1;1;1;1;0;1;0;1;0
;163072;right;0;1000000;0;1;1;1;1;0;1;0;1;0
#;151020;0;0;400000;0;1;1;1;1;0;1;0;0;0
#;172070;0;0;400000;0;1;1;1;1;0;1;0;0;0
#;172080;0;0;1000000;0;1;1;1;1;0;1;0;0;0
#;172100;0;0;400000;0;1;1;1;1;0;1;0;0;0
#;172110;0;0;1000000;0;1;1;1;1;0;1;0;0;0
#;171000;0;0;400000;0;1;1;1;1;0;1;0;0;0
#;171010;0;0;1000000;0;1;1;1;1;0;1;0;0;0
#;171030;0;0;400000;0;1;1;1;0;0;1;0;0;0
#;171040;0;0;680000;0;1;1;1;1;0;1;0;0;0
;151040;0;0;250000;0;1;1;1;1;0;1;0;1;0
;161002;right;0;400000;0;1;1;1;1;0;1;0;1;0
#;151000;0;0;400000;0;1;1;1;1;0;1;0;0;0
;161022;right;0;400000;0;1;1;1;1;0;1;0;1;0
;161032;right;0;1000000;0;1;1;1;1;0;1;0;1;0
;161042;right;0;1000000;0;1;1;1;1;0;1;0;1;0
;161052;right;0;400000;0;1;1;1;1;0;1;0;1;0
;161072;right;0;400000;0;1;1;1;1;0;1;0;1;0
;161082;right;0;400000;0;1;1;1;1;0;1;0;1;0
;150000;0;0;400000;0;1;1;1;1;0;1;0;1;0
;150031;left;0;400000;0;1;1;1;1;0;1;0;1;0
;150060;0;0;400000;0;1;1;1;1;0;1;0;1;0
;150080;0;0;1000000;0;1;1;1;1;0;1;0;1;0
;150160;0;0;400000;0;1;1;1;1;0;1;0;1;0
;150180;0;0;1000000;0;1;1;1;1;0;1;0;1;0
;160001;left;0;400000;0;1;1;1;1;0;1;1;1;0
;160041;left;0;400000;0;1;1;1;1;0;1;5;0;0
;150070;0;0;400000;0;1;1;1;1;0;1;2;1;0



