#;RunNo;RunDes;Verb;NEvents;NStart;Ped;Clus;Sel;DoAlig;AnaAli;TraAna;Ntries;Status;Correction
#;RunNo;RunDes;Verb;NEvents;NStart;Ped;Clus;Sel;DoAlig;AnaAli;TraAna;Ntries;Status;Correction
#110XX;;;;;;;;;;;;;;
#RHT1;;;;;;;;;;;;;;
;11000;left;0;1000000;0;1;1;1;1;0;1;1;0;1
;11001;left;0;30000;0;1;1;1;1;0;1;1;0;1
;11002;left;0;350000;0;1;1;1;1;0;1;1;0;1
#RHT2;;;;;;;;;;;;;;
;11000;right;0;400000;0;1;1;1;1;0;1;0;0;1
;11001;right;0;30000;0;1;1;1;1;0;1;1;0;1
;11002;right;0;350000;0;1;1;1;1;0;1;1;0;1
#;RunNo;RunDes;Verb;NEvents;NStart;Ped;Clus;Sel;DoAlig;AnaAli;TraAna;Ntries;Status;Correction
#120XX;;;;;;;;;;;;;;
#RHT1;;;;;;;;;;;;;;
;12000;left;0;250000;0;1;1;1;1;0;1;0;1;1
;12002;left;0;560000;0;1;1;1;1;0;1;1;1;1
;12003;left;0;1000000;0;1;1;1;1;0;1;1;1;1
;12004;left;0;1000000;0;1;1;1;1;0;1;1;0;1
;12005;left;0;1000000;0;1;1;1;1;0;1;1;0;1
;12007;left;0;1000000;0;1;1;1;1;0;1;1;0;1
;12008;left;0;500000;0;1;1;1;1;0;1;1;0;1
;12009;left;0;500000;0;1;1;1;1;0;1;1;0;1
;12010;left;0;500000;0;1;1;1;1;0;1;1;0;1
;12011;left;0;1000000;0;1;1;1;1;0;1;1;0;1
;12012;left;0;1000000;0;1;1;1;1;0;1;1;0;1
#RHT2;;;;;;;;;;;;;;
;12000;right;0;250000;0;1;1;1;1;0;1;1;1;1
;12002;right;0;560000;0;1;1;1;1;0;1;1;1;1
;12003;right;0;1000000;0;1;1;1;1;0;1;1;0;1
;12004;right;0;1000000;0;1;1;1;1;0;1;1;0;1
;12005;right;0;1000000;0;1;1;1;1;0;1;1;1;1
;12007;right;0;1000000;0;1;1;1;1;0;1;1;0;1
;12008;right;0;500000;0;1;1;1;1;0;1;1;0;1
;12009;right;0;500000;0;1;1;1;1;0;1;1;0;1
;12010;right;0;500000;0;1;1;1;1;0;1;1;0;1
;12011;right;0;1000000;0;1;1;1;1;0;1;1;0;1
;12012;right;0;1000000;0;1;1;1;1;0;1;1;0;1
#;RunNo;RunDes;Verb;NEvents;NStart;Ped;Clus;Sel;DoAlig;AnaAli;TraAna;Ntries;Status;Correction
#141XX;;;;;;;;;;;;;;
#T15-43 ;;;;;;;;;;;;;;
;14100;0;0;1000000;0;1;1;1;1;0;1;1;1;1
;14102;0;0;1000000;0;1;1;1;1;0;1;1;0;1
;14103;0;0;1000000;0;1;1;1;1;0;1;1;0;1
;14104;0;0;1000000;0;1;1;1;1;0;1;1;0;1
;14105;0;0;1000000;0;1;1;1;1;0;1;1;0;1
;14106;0;0;1000000;0;1;1;1;1;0;1;1;1;1
;14107;0;0;1000000;0;1;1;1;1;0;1;1;0;1
;14108;0;0;1000000;0;1;1;1;1;0;1;1;0;1
;14109;0;0;1000000;0;1;1;1;1;0;1;1;0;1
;14110;0;0;1000000;0;1;1;1;1;0;1;1;0;1
;14112;0;0;150000;0;1;1;1;1;0;1;1;0;1
#T14-33;;;;;;;;;;;;;;
;14101;0;0;360000;0;1;1;1;1;0;1;1;0;1
;14111;0;0;1000000;0;1;1;1;1;0;1;1;0;1
;14113;0;0;100000;0;1;1;1;1;0;1;1;0;1
;14114;0;0;500000;0;1;1;1;1;0;1;1;0;1
;120021;left;0;560000;0;1;1;1;1;0;1;1;0;0
;110022;right;0;350000;0;1;1;1;1;0;1;4;0;0
;110021;left;0;350000;0;1;1;1;1;0;1;1;0;0
;110012;right;0;30000;0;1;1;1;1;0;1;1;0;0
;120001;left;0;250000;0;1;1;1;1;0;1;0;0;0
;110011;left;0;30000;0;1;1;1;1;0;1;1;0;0
;110001;left;0;1000000;0;1;1;1;1;0;1;1;0;0
;120021;left;0;560000;0;1;1;1;1;0;1;1;0;0
;110022;right;0;350000;0;1;1;1;1;0;1;4;0;0
;110021;left;0;350000;0;1;1;1;1;0;1;1;0;0
;110012;right;0;30000;0;1;1;1;1;0;1;1;0;0
;120001;left;0;250000;0;1;1;1;1;0;1;0;0;0
;110011;left;0;30000;0;1;1;1;1;0;1;1;0;0
;110001;left;0;1000000;0;1;1;1;1;0;1;1;0;0
;120021;left;0;560000;0;1;1;1;1;0;1;1;0;0
;110022;right;0;350000;0;1;1;1;1;0;1;4;0;0
;110021;left;0;350000;0;1;1;1;1;0;1;1;0;0
;110012;right;0;30000;0;1;1;1;1;0;1;1;0;0
;120001;left;0;250000;0;1;1;1;1;0;1;0;0;0
;110011;left;0;30000;0;1;1;1;1;0;1;1;0;0
;120041;left;0;1000000;0;1;1;1;1;0;1;1;0;0
