RunNumber,Current start,Current end,Repeater card
11000,,,??
11001,,,??
11002,,,??
11003,,,??
11004,,,??
11005,,,??
11006,,,??
11007,,,??
11008,,,??
11009,,,??
11011,,,??
11000,,,??
11001,,,??
11002,,,??
11003,,,??
11004,,,??
11005,,,??
11006,,,??
11007,,,??
11008,,,??
11009,,,??
11011,,,??
12000,,,??
12001,,,??
12002,,,??
12003,,,??
12004,,,??
12005,,,??
12007,,,??
12008,,,??
12009,,,??
12010,,,??
12011,,,??
12012,,,??
12000,,,??
12001,,,??
12002,,,??
12003,,,??
12004,,,??
12005,,,??
12007,,,??
12008,,,??
12009,,,??
12010,,,??
12011,,,??
12012,,,??
13015,,4,??
13016,,1,??
13018,,3,??
13015,,4,??
13016,,1,??
13018,,3,??
13001,,??,??
13002,,??,??
13005,,??,??
13007,,1,??
13011,,3,??
13013,,1,??
13003,,??,??
13004,,??,??
13006,,??,??
13008,,30?,??
13009,,1,??
13010,,1,??
13014,,1,??
13022,,6,??
13023,,8,??
13024,,1,??
13025,,1,??
13026,,1,??
14100,2,??,# 4
14102,2,??,# 4
14103,2,??,# 4
14104,3,??,# 4
14105,3,??,# 4
14106,3,??,# 4
14107,3,??,# 4
14108,2,??,# 4
14109,3,??,# 4
14110,3,??,# 4
14112,10,??,# 4
14101,1,??,# 1
14111,1,??,# 1
14113,1,??,# 1
14114,1,??,# 1
15000,,1,# 1
15001,,200,# 1
15002,,1000,# 1
15006,,0.5,# 1
15007,,0.5,# 1
15008,,0.1,# 1
15016,,0.1,# 1
15018,,0.1,# 1
15003,,7,# 4
15004,,16,# 4
15005,,9,# 4
15009,,11,# 4
15011,,25,# 4
15012,,25,# 4
15003,,7,# 4
15004,,16,# 4
15005,,9,# 4
15009,,11,# 4
15011,,25,# 4
15012,,25,# 4
15100,,1,# 4
15102,,1,# 4
15104,,13,# 4
15101,,1,# 5
15103,,1,# 5
15101,,1,# 5
15103,,1,# 5
15100,,1,# 4
15102,,1,# 4
15104,,13,# 4
15101,,1,# 5
15103,,1,# 5
15101,,1,# 5
15103,,1,# 5
15201,,2.3,# 5
15204,,1,# 5
15206,,1,# 5
15207,,1,# 5
15201,,2.3,# 5
15204,,1,# 5
15206,,1,# 5
15207,,1,# 5
15208,,1,# 1
15209,,1,# 1
15212,,1,# 1
15215,,1.5,# 1
15216,,0.3,# 5
15218,,0.02,# 5
15219,,0.02,# 5
15216,,0.3,# 5
15218,,0.02,# 5
15219,,0.02,# 5
16000,,<2,# 2
16001,,<9,# 2
16004,,<2,# 2
16005,,<8,# 2
16000,,<2,# 2
16001,,<9,# 2
16004,,<2,# 2
16005,,<8,# 2
16002,,<2,# 4
16003,,<2,# 4
16006,,<1,# 4
16007,,<2,# 4
16008,,<2,# 2
16009,,<2,# 2
16010,,<1,# 2
16011,,<2,# 2
16008,,<2,# 2
16009,,<2,# 2
16010,,<1,# 2
16011,,<2,# 2
16100,1,10,# 2
16101,1,16,# 2
16102,1,1,# 2
16103,1,0.8,# 2
16104,1,0.04,# 4
16105,1,0.05,# 4
16106,1,25,# 2
16107,1,52,# 2
16108,1,?,# 4
16100,1,10,# 2
16101,1,16,# 2
16102,1,1,# 2
16103,1,0.8,# 2
16104,1,0.04,# 4
16105,1,0.05,# 4
16106,1,25,# 2
16107,1,52,# 2
16108,1,?,# 4
16200,2,0.1,# 2
16201,2,0.1,# 2
16202,2,0.1,# 2
16203,2,0.1,# 2
16300,1,0.1,# 2
16301,1,0.1,# 2
16313,2,0.1,# 2
16314,2,0.1,# 2
16302,2,0.1,# 2
16303,1,0.1,# 2
16306,2,0.1,# 2
16307,1,0.1,# 2
16302,2,0.1,# 2
16303,1,0.1,# 2
16306,2,0.1,# 2
16307,1,0.1,# 2
16304,2,1,# 2
16305,2,0.7,# 2
16308,2,2,# 2
16309,3,1,# 2
16310,2,0.1,# 2
16311,1,0.1,# 2
16312,0.1,0.1,# 2
16315,2,0.1,# 2
16316,2,0.1,# 2
16310,2,0.1,# 2
16311,1,0.1,# 2
16312,0.1,0.1,# 2
16315,2,0.1,# 2
16316,2,0.1,# 2
16999,3,1.3,# 2
17000,2,1.6,# 2
17001,3,2.5,# 2
16999,3,1.3,# 2
17000,2,1.6,# 2
17001,3,2.5,# 2
17100,2,1.3,# 2
17101,4,4,# 2
17103,3,3,# 2
17104,7,6,# 2
17105,2,0.04,# 2
17106,2,0.05,# 2
17107,2,1,# 1
17108,2,1,# 1
17107,2,1,# 1
17108,2,1,# 1
17107,2,1,# 1
17108,2,1,# 1
17107,2,1,# 4
17108,2,1,# 4
17107,2,1,# 4
17108,2,1,# 4
17107,2,1,# 4
17108,2,1,# 4
17207,2,0.6,# 2
17208,3,??,# 2
17210,2,1.4,# 2
17211,4,??,# 2
17300,1,55,# 2
17303,2,0.3,# 2
17301,1,0.1,# 2
17302,1,0.01,# 2
17304,1,0.1,# 2
17305,1,0.2,# 2
17306,1,8.485,# 2
